Seq 0 , 2.00
Seq 1 , 3.00
Seq 76 , 1.24ms, Time Mon Mar  7 09:57:37 2016

Seq 77 , 1.43ms, Time Mon Mar  7 09:57:38 2016

Seq 78 , 1.21ms, Time Mon Mar  7 09:57:39 2016

Seq 79 , 1.35ms, Time Mon Mar  7 09:57:40 2016

Seq 80 , 1.22ms, Time Mon Mar  7 09:57:41 2016

Seq 81 , 1.20ms, Time Mon Mar  7 09:57:42 2016

Seq 82 , 1.20ms, Time Mon Mar  7 09:57:43 2016

Seq 83 , 1.47ms, Time Mon Mar  7 09:57:44 2016

Seq 84 , 1.31ms, Time Mon Mar  7 09:57:45 2016

Seq 85 , 1.25ms, Time Mon Mar  7 09:57:46 2016

Seq 86 , 1.27ms, Time Mon Mar  7 09:57:47 2016

Seq 87 , 1.32ms, Time Mon Mar  7 09:57:48 2016

Seq 88 , 1.24ms, Time Mon Mar  7 09:57:49 2016

Seq 89 , 1.50ms, Time Mon Mar  7 09:57:50 2016

Seq 90 , 1.26ms, Time Mon Mar  7 09:57:51 2016

Seq 91 , 1.23ms, Time Mon Mar  7 09:57:52 2016

Seq 92 , 1.22ms, Time Mon Mar  7 09:57:53 2016

Seq 93 , 1.23ms, Time Mon Mar  7 09:57:54 2016

Seq 94 , 1.23ms, Time Mon Mar  7 09:57:55 2016

Seq 95 , 1.54ms, Time Mon Mar  7 09:57:56 2016

Seq 96 , 1.25ms, Time Mon Mar  7 09:57:57 2016

Seq 97 , 1.22ms, Time Mon Mar  7 09:57:58 2016

Seq 98 , 1.23ms, Time Mon Mar  7 09:57:59 2016

Seq 99 , 1.23ms, Time Mon Mar  7 09:58:00 2016

Seq 100 , 1.25ms, Time Mon Mar  7 09:58:01 2016

Seq 101 , 1.41ms, Time Mon Mar  7 09:58:02 2016

Seq 102 , 1.25ms, Time Mon Mar  7 09:58:03 2016

Seq 103 , 1.22ms, Time Mon Mar  7 09:58:04 2016

Seq 104 , 1.28ms, Time Mon Mar  7 09:58:05 2016

Seq 105 , 1.26ms, Time Mon Mar  7 09:58:06 2016

Seq 106 , 1.24ms, Time Mon Mar  7 09:58:07 2016

Seq 107 , 1.44ms, Time Mon Mar  7 09:58:08 2016

Seq 108 , 1.26ms, Time Mon Mar  7 09:58:09 2016

Seq 109 , 1.24ms, Time Mon Mar  7 09:58:10 2016

Seq 110 , 1.25ms, Time Mon Mar  7 09:58:11 2016

Seq 111 , 1.23ms, Time Mon Mar  7 09:58:12 2016

Seq 112 , 1.22ms, Time Mon Mar  7 09:58:13 2016

Seq 113 , 1.43ms, Time Mon Mar  7 09:58:14 2016

Seq 114 , 1.24ms, Time Mon Mar  7 09:58:15 2016

Seq 115 , 1.27ms, Time Mon Mar  7 09:58:16 2016

Seq 116 , 1.29ms, Time Mon Mar  7 09:58:17 2016

Seq 117 , 1.29ms, Time Mon Mar  7 09:58:18 2016

Seq 118 , 1.23ms, Time Mon Mar  7 09:58:19 2016

Seq 119 , 1.43ms, Time Mon Mar  7 09:58:20 2016

Seq 120 , 1.26ms, Time Mon Mar  7 09:58:21 2016

Seq 121 , 1.25ms, Time Mon Mar  7 09:58:22 2016

Seq 122 , 1.26ms, Time Mon Mar  7 09:58:23 2016

Seq 123 , 1.23ms, Time Mon Mar  7 09:58:24 2016

Seq 124 , 1.28ms, Time Mon Mar  7 09:58:25 2016

Seq 125 , 1.49ms, Time Mon Mar  7 09:58:26 2016

Seq 126 , 1.25ms, Time Mon Mar  7 09:58:27 2016

Seq 127 , 1.24ms, Time Mon Mar  7 09:58:28 2016

Seq 128 , 1.26ms, Time Mon Mar  7 09:58:29 2016

Seq 129 , 1.32ms, Time Mon Mar  7 09:58:30 2016

Seq 130 , 1.24ms, Time Mon Mar  7 09:58:31 2016

Seq 131 , 1.26ms, Time Mon Mar  7 09:58:32 2016

Seq 132 , 1.28ms, Time Mon Mar  7 09:58:33 2016

Seq 133 , 1.25ms, Time Mon Mar  7 09:58:34 2016

Seq 134 , 1.25ms, Time Mon Mar  7 09:58:35 2016

Seq 135 , 1.32ms, Time Mon Mar  7 09:58:36 2016

Seq 136 , 1.26ms, Time Mon Mar  7 09:58:37 2016

Seq 137 , 1.43ms, Time Mon Mar  7 09:58:38 2016

Seq 138 , 1.24ms, Time Mon Mar  7 09:58:39 2016

Seq 139 , 1.24ms, Time Mon Mar  7 09:58:40 2016

Seq 140 , 1.24ms, Time Mon Mar  7 09:58:41 2016

Seq 141 , 1.23ms, Time Mon Mar  7 09:58:42 2016

Seq 142 , 1.22ms, Time Mon Mar  7 09:58:43 2016

