Seq 0 , 2.00
Seq 1 , 3.00
Seq 382 , 1.45ms, Time Mon Mar  7 10:02:44 2016

Seq 383 , 1.30ms, Time Mon Mar  7 10:02:45 2016

Seq 384 , 1.26ms, Time Mon Mar  7 10:02:46 2016

Seq 385 , 1.22ms, Time Mon Mar  7 10:02:47 2016

Seq 386 , 1.24ms, Time Mon Mar  7 10:02:48 2016

Seq 387 , 1.23ms, Time Mon Mar  7 10:02:49 2016

Seq 388 , 1.46ms, Time Mon Mar  7 10:02:50 2016

Seq 389 , 1.24ms, Time Mon Mar  7 10:02:51 2016

Seq 390 , 1.23ms, Time Mon Mar  7 10:02:52 2016

Seq 391 , 1.29ms, Time Mon Mar  7 10:02:53 2016

